Date,Atl,Bos,Bkn,Cha,Chi,Cle,Dal,Den,Det,Gsw,Hou,Ind,LAC,LAL,Mem,Mia,Mil,Min,NO,NY,OKC,Orl,Phi,Pho,Por,Sac,SA,Tor,Uth,Was,Date
Tu-10/16,,phi,,,,,,,,okc,,,,,,,,,,,@ gsw,,@ bos,,,,,,,,Tu-10/16
We-10/17,@ nyk,,@ det,mil,,@ tor,@ pho,@ lac,bkn,,nor,mem,den,,@ ind,@ orl,@ cha,@ sas,@ hou,atl,,mia,,dal,,uth,min,cle,@ sac,,We-10/17
Th-10/18,,,,,@ phi,,,,,,,,,@ por,,@ was,,,,,,,chi,,lal,,,,,mia,Th-10/18
Fr-10/19,@ mem,@ tor,nyk,@ orl,,@ min,,,,@ uth,,@ mil,okc,,atl,,ind,cle,sac,@ bkn,@ lac,cha,,,,@ nor,,bos,gsw,,Fr-10/19
Sa-10/20,,@ nyk,@ ind,@ mia,det,,min,pho,@ chi,,@ lal,bkn,,hou,,cha,,@ dal,,bos,,@ phi,orl,@ den,sas,,@ por,@ was,,tor,Sa-10/20
Su-10/21,@ cle,,,,,atl,,gsw,,@ den,@ lac,,hou,,,,,,,,sac,,,,,@ okc,,,,,Su-10/21
Mo-10/22,,orl,,@ tor,@ dal,,chi,,,pho,,@ min,,sas,@ uth,,nyk,ind,,@ mil,,@ bos,,@ gsw,was,,@ lal,cha,mem,@ por,Mo-10/22
Tu-10/23,,,,,,,,sac,phi,,,,@ nor,,,,,,lac,,,,@ det,,,@ den,,,,,Tu-10/23
We-10/24,dal,,@ cle,@ chi,cha,bkn,@ atl,,,was,uth,@ sas,,@ pho,@ sac,nyk,phi,@ tor,,@ mia,,,@ mil,lal,,mem,ind,min,@ hou,@ gsw,We-10/24
Th-10/25,,@ okc,,,,@ det,,@ lal,cle,,,,,den,,,,,,,bos,por,,,@ orl,,,,,,Th-10/25
Fr-10/26,,,@ nor,chi,@ cha,,@ tor,,,@ nyk,lac,,@ hou,,,,@ min,mil,bkn,gsw,,,,,,was,,dal,,@ sac,Fr-10/26
Sa-10/27,chi,@ det,,@ phi,@ atl,ind,,,bos,,,@ cle,,@ sas,pho,por,orl,,uth,,,@ mil,cha,@ mem,@ mia,,lal,,@ nor,,Sa-10/27
Su-10/28,,,gsw,,,,uth,,,@ bkn,,,was,,,,,,,,pho,,,@ okc,,,,,@ dal,@ lac,Su-10/28
Mo-10/29,@ phi,,@ nyk,,gsw,,@ sas,nor,,@ chi,,por,,@ min,,sac,tor,lal,@ den,bkn,,,atl,,@ ind,@ mia,dal,@ mil,,,Mo-10/29
Tu-10/30,@ cle,det,,mia,,atl,,,@ bos,,por,,@ okc,,was,@ cha,,,,,lac,sac,@ tor,,@ hou,@ orl,,phi,,@ mem,Tu-10/30
We-10/31,,,det,,den,,@ lal,@ chi,@ bkn,nor,,@ nyk,,dal,,,,uth,@ gsw,ind,,,,sas,,,@ pho,,@ min,,We-10/31
Th-11/1,sac,mil,,okc,,den,,@ cle,,,,,@ phi,,,,@ bos,,@ por,,@ cha,,lac,,nor,@ atl,,,,,Th-11/1
Fr-11/2,,,hou,,ind,,nyk,,,min,@ bkn,@ chi,@ orl,,@ uth,,,@ gsw,,@ dal,@ was,lac,,tor,,,,@ pho,mem,okc,Fr-11/2
Sa-11/3,mia,@ ind,,cle,hou,@ cha,,uth,@ phi,,@ chi,bos,,@ por,,@ atl,,,@ sas,,,,det,,lal,,nor,,@ den,,Sa-11/3
Su-11/4,,,phi,,,,,,,,,,,tor,@ pho,,sac,@ por,,@ was,,@ sas,@ bkn,mem,min,@ mil,orl,@ lal,,nyk,Su-11/4
Mo-11/5,,@ den,,,@ nyk,@ orl,,bos,mia,mem,@ ind,hou,min,,@ gsw,@ det,,@ lac,@ okc,chi,nor,cle,,,,,,@ uth,tor,,Mo-11/5
Tu-11/6,@ cha,,@ pho,atl,,,was,,,,,,,,,,@ por,,,,,,,bkn,mil,,,,,@ dal,Tu-11/6
We-11/7,nyk,,,,@ nor,okc,@ uth,@ mem,@ orl,,,phi,,min,den,sas,,@ lal,chi,@ atl,@ cle,det,@ ind,,,tor,@ mia,@ sac,dal,,We-11/7
Th-11/8,,@ pho,,,,,,,,mil,@ okc,,@ por,,,,@ gsw,,,,hou,,,bos,lac,,,,,,Th-11/8
Fr-11/9,det,@ uth,@ den,@ phi,,,,bkn,@ atl,,,@ mia,,,,ind,,@ sac,,,,was,cha,,,min,,,bos,@ orl,Fr-11/9
Sa-11/10,,,@ gsw,,cle,@ chi,okc,,,bkn,@ sas,,mil,@ sac,phi,was,@ lac,,pho,@ tor,@ dal,,@ mem,@ nor,,lal,hou,nyk,,@ mia,Sa-11/10
Su-11/11,@ lal,@ por,,@ det,,,,mil,cha,,ind,@ hou,,atl,,,@ den,,,orl,,@ nyk,,,bos,,,,,,Su-11/11
Mo-11/12,,,@ min,,dal,,@ chi,,,@ lac,,,gsw,,uth,phi,,bkn,@ tor,,pho,@ was,@ mia,@ okc,,sas,@ sac,nor,@ mem,orl,Mo-11/12
Tu-11/13,@ gsw,,,@ cle,,cha,,hou,,atl,@ den,,,,,,,,,,,,,,,,,,,,Tu-11/13
We-11/14,,chi,mia,,@ bos,@ was,uth,,@ tor,,,,,por,@ mil,@ bkn,mem,nor,@ min,@ okc,nyk,phi,@ orl,sas,@ lal,,@ pho,det,@ dal,cle,We-11/14
Th-11/15,@ den,,,,,,,atl,,@ hou,gsw,,sas,,,,,,,,,,,,,,@ lac,,,,Th-11/15
Fr-11/16,,tor,@ was,,@ mil,,,,,,,mia,,,sac,@ ind,chi,por,nyk,@ nor,,,uth,,@ min,@ mem,,@ bos,@ phi,bkn,Fr-11/16
Sa-11/17,@ ind,uth,lac,phi,tor,,gsw,@ nor,,@ dal,sac,atl,@ bkn,@ orl,,,,,den,,@ pho,lal,@ cha,okc,,@ hou,,@ chi,@ bos,,Sa-11/17
Su-11/18,,,,,,,,,,@ sas,,,,@ mia,@ min,lal,,mem,,@ orl,,nyk,,,@ was,,gsw,,,por,Su-11/18
Mo-11/19,lac,@ cha,,bos,,@ det,@ mem,@ mil,cle,,,uth,@ atl,,dal,,den,,sas,,@ sac,,pho,@ phi,,okc,@ nor,,@ ind,,Mo-11/19
Tu-11/20,,,@ mia,,,,,,,,,,@ was,,,bkn,,,,por,,tor,,,@ nyk,,,@ orl,,lac,Tu-11/20
We-11/21,tor,nyk,@ dal,ind,pho,lal,bkn,@ min,@ hou,okc,det,@ cha,,@ cle,@ sas,,por,den,@ phi,@ bos,@ gsw,,nor,@ chi,@ mil,@ uth,mem,@ atl,sac,,We-11/21
Th-11/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Th-11/22
Fr-11/23,bos,@ atl,min,@ okc,mia,@ phi,,orl,hou,por,@ det,sas,mem,uth,@ lac,@ chi,pho,@ bkn,@ nyk,nor,cha,@ den,cle,@ mil,@ gsw,,@ ind,was,@ lal,@ tor,Fr-11/23
Sa-11/24,,@ dal,,,@ min,hou,bos,@ okc,,sac,@ cle,,,,,,sas,chi,@ was,,den,,,,,@ gsw,@ mil,,,nor,Sa-11/24
Su-11/25,cha,,phi,@ atl,,,,,pho,,,,@ por,orl,nyk,@ tor,,,,@ mem,,@ lal,@ bkn,@ det,lac,uth,,mia,@ sac,,Su-11/25
Mo-11/26,,@ nor,,mil,sas,min,,,,orl,@ was,@ uth,,,,,@ cha,@ cle,bos,,,@ gsw,,,,,@ chi,,ind,hou,Mo-11/26
Tu-11/27,@ mia,,,,,,,lal,nyk,,,@ pho,,@ den,tor,atl,,,,@ det,,,,ind,,,,@ mem,,,Tu-11/27
We-11/28,@ cha,,uth,atl,@ mil,@ okc,@ hou,,,,dal,,pho,,,,chi,sas,was,@ phi,cle,@ por,nyk,@ lac,orl,,@ min,,@ bkn,@ nor,We-11/28
Th-11/29,,,,,,,,,,@ tor,,@ lal,@ sac,ind,,,,,,,,,,,,lac,,gsw,,,Th-11/29
Fr-11/30,@ okc,cle,mem,uth,@ det,@ bos,@ lal,@ por,chi,,@ sas,,,dal,@ bkn,nor,,,@ mia,,atl,@ pho,was,orl,den,,hou,,@ cha,@ phi,Fr-11/30
Sa-12/1,,@ min,@ was,,@ hou,tor,,,gsw,@ det,chi,@ sac,,,,,@ nyk,bos,,mil,,,,,,ind,,@ cle,,bkn,Sa-12/1
Su-12/2,,,,nor,,,lac,,,,,,@ dal,pho,@ phi,uth,,,@ cha,,,,mem,@ lal,@ sas,,por,,@ mia,,Su-12/2
Mo-12/3,gsw,,cle,,,@ bkn,,@ tor,okc,@ atl,@ min,,@ nor,,,,,hou,lac,was,@ det,,,,,,,den,,@ nyk,Mo-12/3
Tu-12/4,,,,,@ ind,,por,,,,,chi,,,,orl,,,,,,@ mia,,sac,@ dal,@ pho,@ uth,,sas,,Tu-12/4
We-12/5,was,,okc,@ min,,gsw,@ nor,@ orl,@ mil,@ cle,,,@ mem,sas,lac,,det,cha,dal,,@ bkn,den,@ tor,,,,@ lal,phi,,@ atl,We-12/5
Th-12/6,,nyk,,,,,,,,,@ uth,,,,,,,,,@ bos,,,,@ por,pho,,,,hou,,Th-12/6
Fr-12/7,,,tor,den,okc,sac,,@ cha,phi,@ mil,,@ orl,,@ sas,@ nor,@ pho,gsw,,mem,,@ chi,ind,@ det,mia,,@ cle,lal,@ bkn,,,Fr-12/7
Sa-12/8,den,@ chi,@ nyk,,bos,was,hou,@ atl,,,@ dal,sac,mia,@ mem,lal,@ lac,,@ por,,bkn,,,,,min,@ ind,,,,@ cle,Sa-12/8
Su-12/9,,,,@ nyk,,,,,nor,,,,,,,,@ tor,,@ det,cha,,,,,,,uth,mil,@ sas,,Su-12/9
Mo-12/10,,nor,,,sac,@ mil,orl,mem,@ phi,min,,was,@ pho,mia,@ den,@ lal,cle,@ gsw,@ bos,,uth,@ dal,det,lac,,@ chi,,,@ okc,@ ind,Mo-12/10
Tu-12/11,,,,,,,,,,,por,,tor,,,,,,,,,,,@ sas,@ hou,,pho,@ lac,,,Tu-12/11
We-12/12,@ dal,@ was,@ phi,det,,nyk,atl,,@ cha,tor,,mil,,,por,@ uth,@ ind,@ sac,okc,@ cle,@ nor,,bkn,,@ mem,min,,@ gsw,mia,bos,We-12/12
Th-12/13,,,,,@ orl,,@ pho,,,,lal,,@ sas,@ hou,,,,,,,,chi,,dal,,,lac,,,,Th-12/13
Fr-12/14,@ bos,atl,was,nyk,,mil,,okc,,@ sac,,@ phi,,,mia,@ mem,@ cle,,,@ cha,@ den,,ind,,tor,gsw,,@ por,,@ bkn,Fr-12/14
Sa-12/15,,@ det,,lal,@ sas,,,,bos,,@ mem,,@ okc,@ cha,hou,,,@ pho,,,lac,uth,,min,,,chi,,@ orl,,Sa-12/15
Su-12/16,@ bkn,,atl,,,phi,sac,tor,,,,nyk,,@ was,,@ nor,,,mia,@ ind,,,@ cle,,,@ dal,,@ den,,lal,Su-12/16
Mo-12/17,,,,,@ okc,,,,mil,mem,uth,,por,,@ gsw,,@ det,sac,,pho,chi,,@ sas,@ nyk,@ lac,@ min,phi,,@ hou,,Mo-12/17
Tu-12/18,was,,lal,,,@ ind,@ den,dal,,,,cle,,@ bkn,,,,,,,,,,,,,,,,@ atl,Tu-12/18
We-12/19,,pho,@ chi,cle,bkn,@ cha,,,@ min,@ uth,was,@ tor,,,@ por,,nor,det,@ mil,@ phi,@ sac,sas,nyk,@ bos,mem,okc,@ orl,ind,gsw,@ hou,We-12/19
Th-12/20,,,,,,,@ lac,,,,@ mia,,dal,,,hou,,,,,,,,,,,,,,,Th-12/20
Fr-12/21,@ nyk,mil,ind,det,orl,@ tor,,,@ cha,,,@ bkn,,nor,@ sac,,@ bos,@ sas,@ lal,atl,,@ chi,,,uth,mem,min,cle,@ por,,Fr-12/21
Sa-12/22,,,,,,,@ gsw,@ lac,,dal,sas,,den,,,mil,@ mia,,,,@ uth,,tor,@ was,,,@ hou,@ phi,okc,pho,Sa-12/22
Su-12/23,@ det,cha,pho,@ bos,@ cle,chi,@ por,,atl,lac,,was,@ gsw,mem,@ lal,@ orl,,@ okc,@ sac,,min,mia,,@ bkn,dal,nor,,,,@ ind,Su-12/23
Mo-12/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-12/24
Tu-12/25,,phi,,,,,,,,lal,okc,,,@ gsw,,,@ nyk,,,mil,@ hou,,@ bos,,@ uth,,,,por,,Tu-12/25
We-12/26,ind,,cha,@ bkn,min,@ mem,nor,@ sas,was,,,@ atl,sac,,cle,tor,,@ chi,@ dal,,,pho,,@ orl,,@ lac,den,@ mia,,@ det,We-12/26
Th-12/27,,@ hou,,,,,,,,por,bos,,,@ sac,,,nyk,,,@ mil,,,@ uth,,@ gsw,lal,,,phi,,Th-12/27
Fr-12/28,@ min,,@ cha,bkn,@ was,@ mia,@ nor,sas,@ ind,,,det,@ lal,lac,,cle,,atl,dal,,@ pho,tor,,okc,,,@ den,@ orl,,chi,Fr-12/28
Sa-12/29,cle,@ mem,@ mil,@ was,,@ atl,,@ pho,,@ por,@ nor,,sas,,bos,,bkn,,hou,@ uth,,,,den,gsw,,@ lac,,nyk,cha,Sa-12/29
Su-12/30,,,,,@ tor,,okc,,@ orl,,,,,sac,,min,,@ mia,,,@ dal,det,@ por,,phi,@ lal,,chi,,,Su-12/30
Mo-12/31,@ ind,@ sas,,orl,,,@ okc,,,@ pho,mem,atl,,,@ hou,,,@ nor,min,,dal,@ cha,,gsw,,,bos,,,,Mo-12/31
Tu-1/1,,,,,,,,nyk,@ mil,,,,phi,,,,det,,,@ den,,,@ lac,,@ sac,por,,uth,@ tor,,Tu-1/1
We-1/2,@ was,min,nor,dal,orl,mia,@ cha,,@ mem,,,,,okc,det,@ cle,,@ bos,@ bkn,,@ lal,@ chi,@ pho,phi,,,,,,atl,We-1/2
Th-1/3,,,,,,,,@ sac,,hou,@ gsw,,,,,,,,,,,,,,,den,tor,@ sas,,,Th-1/3
Fr-1/4,@ mil,dal,@ mem,,ind,uth,@ bos,,,,,@ chi,@ pho,nyk,bkn,was,atl,orl,,@ lal,@ por,@ min,,lac,okc,,,,@ cle,@ mia,Fr-1/4
Sa-1/5,,,,@ den,,nor,@ phi,cha,uth,@ sac,@ por,,,,@ sas,,tor,,@ cle,,,,dal,,hou,gsw,mem,@ mil,@ det,,Sa-1/5
Su-1/6,mia,,@ chi,@ pho,bkn,,,,,,,@ tor,orl,@ min,,@ atl,,lal,,,was,@ lac,,cha,,,,ind,,@ okc,Su-1/6
Mo-1/7,,bkn,@ bos,,,,lal,@ hou,sas,,den,,,@ dal,@ nor,,uth,,mem,@ por,,@ sac,,,nyk,orl,@ det,,@ mil,,Mo-1/7
Tu-1/8,@ tor,,,@ lac,,ind,,@ mia,,nyk,,@ cle,cha,,,den,,@ okc,,@ gsw,min,,was,sac,,@ pho,,atl,,@ phi,Tu-1/8
We-1/9,@ bkn,ind,atl,,@ por,@ nor,pho,,@ lal,,mil,@ bos,,det,sas,,@ hou,,cle,,,@ uth,@ was,@ dal,chi,,@ mem,,orl,phi,We-1/9
Th-1/10,,@ mia,,,,,,lac,@ sac,,,,@ den,,,bos,,,,,@ sas,,,,,det,okc,,,,Th-1/10
Fr-1/11,@ phi,,@ tor,@ por,@ gsw,@ hou,@ min,,,chi,cle,@ nyk,,@ uth,,,@ was,dal,,ind,,,atl,,cha,,,bkn,lal,mil,Fr-1/11
Sa-1/12,,@ orl,,@ sac,@ uth,,,@ pho,@ lac,,,,det,,@ mia,mem,,nor,@ min,,sas,bos,,den,,cha,@ okc,,chi,,Sa-1/12
Su-1/13,mil,,,,,@ lal,gsw,por,,@ dal,@ orl,,,cle,,,@ atl,,,phi,,hou,@ nyk,,@ den,,,@ was,,tor,Su-1/13
Mo-1/14,,@ bkn,bos,@ sas,,,,,@ uth,,mem,,nor,,@ hou,,,,@ lac,,,,,,@ sac,por,cha,,det,,Mo-1/14
Tu-1/15,okc,,,,@ lal,,,gsw,,@ den,,pho,,chi,,@ mil,mia,@ phi,,,@ atl,,min,@ ind,,,,,,,Tu-1/15
We-1/16,,tor,@ hou,,,@ por,sas,,orl,nor,bkn,,uth,,mil,,@ mem,,@ gsw,,,@ det,,,cle,,@ dal,@ bos,@ lac,,We-1/16
Th-1/17,,,,sac,@ den,,,chi,,,,phi,,@ okc,,,,,,@ was,lal,,@ ind,@ tor,,@ cha,,pho,,nyk,Th-1/17
Fr-1/18,,mem,@ orl,,,@ uth,,,mia,@ lac,,,gsw,,@ bos,@ det,,sas,@ por,,,bkn,,,nor,,@ min,,cle,,Fr-1/18
Sa-1/19,bos,@ atl,,pho,mia,@ den,@ ind,cle,sac,,lal,dal,,@ hou,@ tor,@ chi,@ orl,,,,@ phi,mil,okc,@ cha,,@ det,,mem,,,Sa-1/19
Su-1/20,,,,@ ind,,,,,,,,cha,@ sas,,,,,pho,,,,,,@ min,,,lac,,,,Su-1/20
Mo-1/21,orl,mia,sac,,@ cle,chi,@ mil,,@ was,@ lal,@ phi,,,gsw,nor,@ bos,dal,,@ mem,okc,@ nyk,@ atl,hou,,@ uth,@ bkn,,,por,det,Mo-1/21
Tu-1/22,,,,,,,lac,,,,,,@ dal,,,,,@ pho,,,por,,,min,@ okc,@ tor,,sac,,,Tu-1/22
We-1/23,@ chi,cle,orl,@ mem,atl,@ bos,,@ uth,@ nor,,@ nyk,tor,@ mia,,cha,lac,,,det,hou,,@ bkn,sas,,,,@ phi,@ ind,den,,We-1/23
Th-1/24,,,,,,,,,,@ was,,,,min,,,,@ lal,@ okc,,nor,,,por,@ pho,,,,,gsw,Th-1/24
Fr-1/25,,,nyk,@ mil,lac,mia,det,pho,@ dal,,tor,,@ chi,,sac,@ cle,cha,@ uth,,@ bkn,,was,,@ den,,@ mem,,@ hou,min,@ orl,Fr-1/25
Sa-1/26,@ por,gsw,,,,,,phi,,@ bos,,@ mem,,,ind,,,,sas,,,,@ den,,atl,,@ nor,,,,Sa-1/26
Su-1/27,,,,,cle,@ chi,tor,,,,orl,,sac,pho,,@ nyk,@ okc,uth,,mia,mil,@ hou,,@ lal,,@ lac,was,@ dal,@ min,@ sas,Su-1/27
Mo-1/28,@ lac,bkn,@ bos,nyk,,,,@ mem,,@ ind,,gsw,atl,,den,,,,,@ cha,,,,,,,,,,,Mo-1/28
Tu-1/29,,,chi,,@ bkn,was,,,mil,,nor,,,phi,,,@ det,,@ hou,,@ orl,okc,@ lal,@ sas,,,pho,,,@ cle,Tu-1/29
We-1/30,@ sac,cha,,@ bos,@ mia,,@ nyk,@ nor,,,,@ was,,,@ min,chi,,mem,den,dal,,,,,uth,atl,,,@ por,ind,We-1/30
Th-1/31,,,@ sas,,,,@ det,,dal,phi,,@ orl,lal,@ lac,,,@ tor,,,,,ind,@ gsw,,,,bkn,mil,,,Th-1/31
Fr-2/1,@ uth,@ nyk,,mem,,,,hou,,,@ den,,,,@ cha,okc,,,,bos,@ mia,,,,,,,,atl,,Fr-2/1
Sa-2/2,@ pho,,@ orl,chi,@ cha,dal,@ cle,@ min,lac,lal,@ uth,@ mia,@ det,@ gsw,,ind,@ was,den,@ sas,,,bkn,@ sac,atl,,phi,nor,,hou,mil,Sa-2/2
Su-2/3,,okc,,,,,,,,,,,@ tor,,@ nyk,,,,,mem,@ bos,,,,,,,lac,,,Su-2/3
Mo-2/4,@ was,,mil,,,,,@ det,den,,@ pho,@ nor,,,,,@ bkn,,ind,,,,,hou,,sas,@ sac,,,atl,Mo-2/4
Tu-2/5,,@ cle,,lac,,bos,,,@ nyk,,,lal,@ cha,@ ind,min,@ por,,@ mem,,det,orl,@ okc,tor,,mia,,,@ phi,,,Tu-2/5
We-2/6,,,den,@ dal,nor,,cha,@ bkn,,sas,@ sac,,,,,,was,,@ chi,,,,,@ uth,,hou,@ gsw,,pho,@ mil,We-2/6
Th-2/7,tor,lal,,,,,,,,,,lac,@ ind,@ bos,@ okc,,,@ orl,,,mem,min,,,sas,,@ por,@ atl,,,Th-2/7
Fr-2/8,,,chi,,@ bkn,@ was,mil,@ phi,nyk,@ pho,,,,,,@ sac,@ dal,@ nor,min,@ det,,,den,gsw,,mia,,,,cle,Fr-2/8
